feature_set,classifier,snr,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
base,rf,0.5 dB,0.4666666666666667,0.09428090415820632,0.3931191578721415,0.1507119619061996
base,rf,10.0 dB,0.8833333333333333,0.02357022603955154,0.8803803295609722,0.02519789093386553
base,rf,5.0 dB,0.8166666666666667,0.039283710065919325,0.8092544827956549,0.04346875925716349
base,rf,8.0 dB,0.8277777777777777,0.007856742013183872,0.8222832513868881,0.01066391131018476
base,rf,clean,0.9333333333333333,0.0,0.9333358371366705,0.0001084139984634747
base,svm_rbf,0.5 dB,0.55,0.03928371006591928,0.49854940270197545,0.0783395809269006
base,svm_rbf,10.0 dB,0.9111111111111111,0.07856742013183865,0.9077162716526825,0.08309775182882148
base,svm_rbf,5.0 dB,0.8666666666666667,0.04714045207910316,0.8617236342526129,0.051759882148963716
base,svm_rbf,8.0 dB,0.8777777777777778,0.03142696805273549,0.8755558832605554,0.03368981480003293
base,svm_rbf,clean,0.9333333333333333,0.06285393610547094,0.9322031684322512,0.06441727294102383
base_cepstra,rf,0.5 dB,0.6499999999999999,0.02357022603955154,0.6297510621193247,0.02725553158139883
base_cepstra,rf,10.0 dB,0.9277777777777778,0.039283710065919325,0.9276277456711857,0.039425972115302015
base_cepstra,rf,5.0 dB,0.75,0.039283710065919325,0.7369002609411817,0.045445223544371825
base_cepstra,rf,8.0 dB,0.8444444444444444,0.015713484026367668,0.8434603202583106,0.015548379868577685
base_cepstra,rf,clean,0.9333333333333333,0.015713484026367668,0.9332529093720068,0.01563030985581742
base_cepstra,svm_rbf,0.5 dB,0.6388888888888888,0.0707106781186547,0.6156297845974534,0.0905842749486913
base_cepstra,svm_rbf,10.0 dB,0.9777777777777777,0.0,0.9777530589543938,0.0
base_cepstra,svm_rbf,5.0 dB,0.9055555555555556,0.007856742013183834,0.904820130802561,0.008894424920585462
base_cepstra,svm_rbf,8.0 dB,0.9055555555555556,0.007856742013183834,0.9052576833999917,0.00791613285951194
base_cepstra,svm_rbf,clean,0.9666666666666667,0.015713484026367668,0.9666295884315906,0.01573096287400557
fusion_iso,rf,0.5 dB,0.6777777777777778,0.15713484026367724,0.6608415931366751,0.1803379611338668
fusion_iso,rf,10.0 dB,0.8166666666666667,0.22784551838233194,0.7641574283536015,0.3020698376592743
fusion_iso,rf,5.0 dB,0.7888888888888889,0.14142135623730948,0.7691964285714286,0.16856920587215013
fusion_iso,rf,8.0 dB,0.7555555555555555,0.18856180831641264,0.7190229063548956,0.23866035594675467
fusion_iso,rf,clean,0.8111111111111111,0.23570226039551578,0.7699982805031886,0.29380962533351185
fusion_iso,svm_rbf,0.5 dB,0.788888888888889,0.15713484026367724,0.7519139650723865,0.2059289260668751
fusion_iso,svm_rbf,10.0 dB,0.9611111111111111,0.05499719409228699,0.9608391608391609,0.05538178985517022
fusion_iso,svm_rbf,5.0 dB,0.9111111111111112,0.1099943881845741,0.9055540119168906,0.11784894716302237
fusion_iso,svm_rbf,8.0 dB,0.9388888888888889,0.05499719409228699,0.9385268791275465,0.055474195511213215
fusion_iso,svm_rbf,clean,0.961111111111111,0.02357022603955154,0.9610291332087479,0.02365120260561282
fusion_mds,rf,0.5 dB,0.75,0.11785113019775798,0.6892571030502065,0.20069349056516225
fusion_mds,rf,10.0 dB,0.8111111111111111,0.20427529234278047,0.7555209193440148,0.2827937294745089
fusion_mds,rf,5.0 dB,0.7722222222222221,0.14927809825049343,0.7160943450902466,0.22703613344692022
fusion_mds,rf,8.0 dB,0.8,0.18856180831641267,0.7426415132732667,0.2687763216918086
fusion_mds,rf,clean,0.8222222222222222,0.21998877636914813,0.7666543072549746,0.29853871765334905
fusion_mds,svm_rbf,0.5 dB,0.8722222222222222,0.13356461422412563,0.8637114775369553,0.14558752657551152
fusion_mds,svm_rbf,10.0 dB,0.9944444444444445,0.007856742013183834,0.9944429008057794,0.007858925047919322
fusion_mds,svm_rbf,5.0 dB,0.9777777777777779,0.031426968052735454,0.9776785714285714,0.03156726701725651
fusion_mds,svm_rbf,8.0 dB,0.9888888888888889,0.015713484026367786,0.9888888888888889,0.015713484026367668
fusion_mds,svm_rbf,clean,0.9944444444444445,0.007856742013183834,0.9944429008057794,0.007858925047919322
