feature_set,classifier,snr,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
base,rf,0.5 dB,0.5333333333333333,,0.4985199082760059,
base,rf,10.0 dB,0.9333333333333333,,0.9330376885276825,
base,rf,5.0 dB,0.8444444444444444,,0.8388976614783067,
base,rf,8.0 dB,0.8555555555555555,,0.8529761904761904,
base,rf,clean,0.9222222222222223,,0.9220272904483431,
base,svm_rbf,0.5 dB,0.5555555555555556,,0.5284175908410914,
base,svm_rbf,10.0 dB,0.9777777777777777,,0.9777777777777779,
base,svm_rbf,5.0 dB,0.9222222222222223,,0.9213417820949341,
base,svm_rbf,8.0 dB,0.9,,0.899901124706464,
base,svm_rbf,clean,0.9666666666666667,,0.9666574048346762,
base_cepstra,rf,0.5 dB,0.6222222222222222,,0.6182795698924731,
base_cepstra,rf,10.0 dB,0.9111111111111111,,0.9110122358175751,
base_cepstra,rf,5.0 dB,0.7666666666666667,,0.7562662876095713,
base_cepstra,rf,8.0 dB,0.8222222222222222,,0.8214534901670217,
base_cepstra,rf,clean,0.9,,0.8999722145040289,
base_cepstra,svm_rbf,0.5 dB,0.7333333333333333,,0.7171311780007432,
base_cepstra,svm_rbf,10.0 dB,0.9666666666666667,,0.9666574048346762,
base_cepstra,svm_rbf,5.0 dB,0.9222222222222223,,0.921623009758603,
base_cepstra,svm_rbf,8.0 dB,0.9111111111111111,,0.9108724326361409,
base_cepstra,svm_rbf,clean,0.9555555555555556,,0.9555061179087875,
fusion_iso,rf,0.5 dB,0.7888888888888889,,0.7858574813194824,
fusion_iso,rf,10.0 dB,0.9777777777777777,,0.9777530589543938,
fusion_iso,rf,5.0 dB,0.8777777777777778,,0.8769230769230769,
fusion_iso,rf,8.0 dB,0.9333333333333333,,0.9333333333333332,
fusion_iso,rf,clean,0.9666666666666667,,0.9666574048346762,
fusion_iso,svm_rbf,0.5 dB,0.9111111111111111,,0.9093247186978167,
fusion_iso,svm_rbf,10.0 dB,0.9888888888888889,,0.9888858016115588,
fusion_iso,svm_rbf,5.0 dB,0.9777777777777777,,0.9777777777777779,
fusion_iso,svm_rbf,8.0 dB,0.9666666666666667,,0.9665831244778613,
fusion_iso,svm_rbf,clean,0.9666666666666667,,0.9666574048346762,
fusion_mds,rf,0.5 dB,0.6666666666666666,,0.5498533724340176,
fusion_mds,rf,10.0 dB,0.6666666666666666,,0.5555555555555555,
fusion_mds,rf,5.0 dB,0.6666666666666666,,0.5555555555555555,
fusion_mds,rf,8.0 dB,0.6666666666666666,,0.5525879535826119,
fusion_mds,rf,clean,0.6666666666666666,,0.5555555555555555,
fusion_mds,svm_rbf,0.5 dB,0.9222222222222223,,0.9216010461912102,
fusion_mds,svm_rbf,10.0 dB,1.0,,1.0,
fusion_mds,svm_rbf,5.0 dB,0.9888888888888889,,0.9888858016115588,
fusion_mds,svm_rbf,8.0 dB,0.9888888888888889,,0.9888858016115588,
fusion_mds,svm_rbf,clean,0.9777777777777777,,0.9777777777777779,
