round,feature_set,classifier,snr,accuracy,macro_f1
0,base,svm_rbf,clean,0.9777777777777777,0.9777530589543938
0,base,svm_rbf,10.0 dB,0.9666666666666667,0.966475255472199
0,base,svm_rbf,8.0 dB,0.9,0.8993781797625777
0,base,svm_rbf,5.0 dB,0.9,0.8983233979135617
0,base,svm_rbf,0.5 dB,0.5777777777777777,0.5539438516106991
0,base,rf,clean,0.9333333333333333,0.9332591768631814
0,base,rf,10.0 dB,0.9,0.8981979291119077
0,base,rf,8.0 dB,0.8333333333333334,0.8298237753882916
0,base,rf,5.0 dB,0.8444444444444444,0.8399915372361608
0,base,rf,0.5 dB,0.5333333333333333,0.4996886081419439
0,base_cepstra,svm_rbf,clean,0.9555555555555556,0.9555061179087875
0,base_cepstra,svm_rbf,10.0 dB,0.9777777777777777,0.9777530589543938
0,base_cepstra,svm_rbf,8.0 dB,0.9,0.8996601321742572
0,base_cepstra,svm_rbf,5.0 dB,0.9111111111111111,0.9111094389786615
0,base_cepstra,svm_rbf,0.5 dB,0.6888888888888889,0.6796825396825397
0,base_cepstra,rf,clean,0.9222222222222223,0.9222006112809114
0,base_cepstra,rf,10.0 dB,0.9,0.899749373433584
0,base_cepstra,rf,8.0 dB,0.8333333333333334,0.832465955416775
0,base_cepstra,rf,5.0 dB,0.7777777777777778,0.7690348866819455
0,base_cepstra,rf,0.5 dB,0.6666666666666666,0.649023633325376
0,fusion_mds,svm_rbf,clean,1.0,1.0
0,fusion_mds,svm_rbf,10.0 dB,1.0,1.0
0,fusion_mds,svm_rbf,8.0 dB,1.0,1.0
0,fusion_mds,svm_rbf,5.0 dB,1.0,1.0
0,fusion_mds,svm_rbf,0.5 dB,0.9666666666666667,0.9666574048346762
0,fusion_mds,rf,clean,0.6666666666666666,0.5555555555555555
0,fusion_mds,rf,10.0 dB,0.6666666666666666,0.5555555555555555
0,fusion_mds,rf,8.0 dB,0.6666666666666666,0.5525879535826119
0,fusion_mds,rf,5.0 dB,0.6666666666666666,0.5555555555555555
0,fusion_mds,rf,0.5 dB,0.6666666666666666,0.5473453749315819
1,base,svm_rbf,clean,0.8888888888888888,0.8866532779101085
1,base,svm_rbf,10.0 dB,0.8555555555555555,0.848957287833166
1,base,svm_rbf,8.0 dB,0.8555555555555555,0.8517335867585333
1,base,svm_rbf,5.0 dB,0.8333333333333334,0.8251238705916641
1,base,svm_rbf,0.5 dB,0.5222222222222223,0.4431549537932517
1,base,rf,clean,0.9333333333333333,0.9334124974101595
1,base,rf,10.0 dB,0.8666666666666667,0.8625627300100369
1,base,rf,8.0 dB,0.8222222222222222,0.8147427273854845
1,base,rf,5.0 dB,0.7888888888888889,0.7785174283551491
1,base,rf,0.5 dB,0.4,0.28654970760233917
1,base_cepstra,svm_rbf,clean,0.9777777777777777,0.9777530589543938
1,base_cepstra,svm_rbf,10.0 dB,0.9777777777777777,0.9777530589543938
1,base_cepstra,svm_rbf,8.0 dB,0.9111111111111111,0.9108552346257263
1,base_cepstra,svm_rbf,5.0 dB,0.9,0.8985308226264603
1,base_cepstra,svm_rbf,0.5 dB,0.5888888888888889,0.5515770295123671
1,base_cepstra,rf,clean,0.9444444444444444,0.9443052074631022
1,base_cepstra,rf,10.0 dB,0.9555555555555556,0.9555061179087875
1,base_cepstra,rf,8.0 dB,0.8555555555555555,0.8544546850998463
1,base_cepstra,rf,5.0 dB,0.7222222222222222,0.7047656352004178
1,base_cepstra,rf,0.5 dB,0.6333333333333333,0.6104784909132736
1,fusion_mds,svm_rbf,clean,0.9888888888888889,0.9888858016115588
1,fusion_mds,svm_rbf,10.0 dB,0.9888888888888889,0.9888858016115588
1,fusion_mds,svm_rbf,8.0 dB,0.9777777777777777,0.9777777777777779
1,fusion_mds,svm_rbf,5.0 dB,0.9555555555555556,0.9553571428571429
1,fusion_mds,svm_rbf,0.5 dB,0.7777777777777778,0.7607655502392344
1,fusion_mds,rf,clean,0.9777777777777777,0.9777530589543938
1,fusion_mds,rf,10.0 dB,0.9555555555555556,0.9554862831324741
1,fusion_mds,rf,8.0 dB,0.9333333333333333,0.9326950729639215
1,fusion_mds,rf,5.0 dB,0.8777777777777778,0.8766331346249379
1,fusion_mds,rf,0.5 dB,0.8333333333333334,0.8311688311688311
