,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15
Sample1,0.0,2.36,2.82,2.73,2.73,3.27,3.32,3.5,3.32,3.5,5.68,6.05,6.14,6.55,6.64
Sample2,2.36,0.0,2.36,2.68,2.45,3.41,3.23,3.23,2.82,3.14,5.86,6.18,5.73,6.64,6.64
Sample3,2.82,2.36,0.0,3.05,2.77,3.32,3.73,3.5,3.64,3.68,5.91,5.86,6.27,6.41,6.05
Sample4,2.73,2.68,3.05,0.0,2.36,3.36,3.14,3.09,3.64,3.05,5.59,6.18,5.82,6.05,5.91
Sample5,2.73,2.45,2.77,2.36,0.0,3.32,3.23,3.32,3.41,3.23,5.91,5.95,6.14,6.18,6.05
Sample6,3.27,3.41,3.32,3.36,3.32,0.0,3.05,3.23,3.5,3.41,5.64,5.59,5.59,5.64,5.68
Sample7,3.32,3.23,3.73,3.14,3.23,3.05,0.0,2.82,2.86,3.32,5.32,5.77,5.41,5.68,5.77
Sample8,3.5,3.23,3.5,3.09,3.32,3.23,2.82,0.0,2.77,3.18,5.27,5.59,5.45,5.82,5.32
Sample9,3.32,2.82,3.64,3.64,3.41,3.5,2.86,2.77,0.0,2.82,5.18,5.27,5.36,5.27,5.55
Sample10,3.5,3.14,3.68,3.05,3.23,3.41,3.32,3.18,2.82,0.0,5.23,5.41,5.68,5.36,5.32
Sample11,5.68,5.86,5.91,5.59,5.91,5.64,5.32,5.27,5.18,5.23,0.0,2.5,2.09,2.86,2.73
Sample12,6.05,6.18,5.86,6.18,5.95,5.59,5.77,5.59,5.27,5.41,2.5,0.0,1.91,2.68,2.91
Sample13,6.14,5.73,6.27,5.82,6.14,5.59,5.41,5.45,5.36,5.68,2.09,1.91,0.0,2.18,2.32
Sample14,6.55,6.64,6.41,6.05,6.18,5.64,5.68,5.82,5.27,5.36,2.86,2.68,2.18,0.0,2.32
Sample15,6.64,6.64,6.05,5.91,6.05,5.68,5.77,5.32,5.55,5.32,2.73,2.91,2.32,2.32,0.0
