sample,class,mds1,mds2
Sample1,0,0.7615599194909559,-3.206251628483582
Sample2,0,-0.05554289551481653,-2.7510638723021246
Sample3,0,-0.9940376966049186,-3.1138922252005092
Sample4,0,2.143258267696732,-1.9169345014500738
Sample5,0,1.5032259892435205,-2.4828395304748825
Sample6,1,2.958721595196307,-0.333033710984245
Sample7,1,2.055198827261943,-0.09913368417592172
Sample8,1,0.9442456674493531,-0.46528077676255386
Sample9,1,-0.6529462205651825,-0.9096011798496252
Sample10,1,-1.7363995526123948,-1.4716137534524516
Sample11,2,-2.0860335459622155,2.702568680670293
Sample12,2,-2.9981577429720576,2.599759758179365
Sample13,2,-1.5055900813388137,3.433508594557822
Sample14,2,-0.6657410475950941,4.053539295028838
Sample15,2,0.3282385168266832,3.960268534699651
