model,snr,accuracy,macro_f1
baseline,clean,0.98,0.9799819837854069
baseline,10.0 dB,0.9666666666666667,0.9665831244778613
baseline,8.0 dB,0.9866666666666667,0.9866613311991462
baseline,5.0 dB,0.9866666666666667,0.9866613311991462
baseline,0.5 dB,0.6866666666666666,0.6813442647034574
fusion_mds,clean,0.9866666666666667,0.9866613311991462
fusion_mds,10.0 dB,0.9733333333333334,0.9732905982905983
fusion_mds,8.0 dB,0.9933333333333333,0.9933326665999934
fusion_mds,5.0 dB,0.9933333333333333,0.9933326665999934
fusion_mds,0.5 dB,0.8,0.7991115756467208
