round,model,snr,accuracy,macro_f1
0,baseline,clean,0.9555555555555556,0.9555061179087875
0,baseline,10.0 dB,0.9777777777777777,0.9777530589543938
0,baseline,8.0 dB,0.9,0.8996601321742572
0,baseline,5.0 dB,0.9111111111111111,0.9111094389786615
0,baseline,0.5 dB,0.6888888888888889,0.6796825396825397
0,fusion_mds,clean,1.0,1.0
0,fusion_mds,10.0 dB,1.0,1.0
0,fusion_mds,8.0 dB,1.0,1.0
0,fusion_mds,5.0 dB,1.0,1.0
0,fusion_mds,0.5 dB,0.9666666666666667,0.9666574048346762
1,baseline,clean,0.9777777777777777,0.9777530589543938
1,baseline,10.0 dB,0.9777777777777777,0.9777530589543938
1,baseline,8.0 dB,0.9111111111111111,0.9108552346257263
1,baseline,5.0 dB,0.9,0.8985308226264603
1,baseline,0.5 dB,0.5888888888888889,0.5515770295123671
1,fusion_mds,clean,0.9888888888888889,0.9888858016115588
1,fusion_mds,10.0 dB,0.9888888888888889,0.9888858016115588
1,fusion_mds,8.0 dB,0.9777777777777777,0.9777777777777779
1,fusion_mds,5.0 dB,0.9555555555555556,0.9553571428571429
1,fusion_mds,0.5 dB,0.7777777777777778,0.7607655502392344
2,baseline,clean,0.9444444444444444,0.9443052074631022
2,baseline,10.0 dB,0.8777777777777778,0.8736204864459444
2,baseline,8.0 dB,0.8888888888888888,0.8868778280542986
2,baseline,5.0 dB,0.9,0.8975258861011549
2,baseline,0.5 dB,0.7888888888888889,0.7847142050847893
2,fusion_mds,clean,0.9888888888888889,0.9888858016115588
2,fusion_mds,10.0 dB,1.0,1.0
2,fusion_mds,8.0 dB,0.9777777777777777,0.9777530589543938
2,fusion_mds,5.0 dB,0.9777777777777777,0.9777530589543938
2,fusion_mds,0.5 dB,0.9444444444444444,0.9443052074631022
3,baseline,clean,0.9666666666666667,0.9666574048346762
3,baseline,10.0 dB,0.9555555555555556,0.9548529794431433
3,baseline,8.0 dB,0.9111111111111111,0.9105082834591031
3,baseline,5.0 dB,0.9222222222222223,0.9208236208236209
3,baseline,0.5 dB,0.6888888888888889,0.6577972415181718
3,fusion_mds,clean,0.9888888888888889,0.9888858016115588
3,fusion_mds,10.0 dB,0.9888888888888889,0.9888858016115588
3,fusion_mds,8.0 dB,0.9777777777777777,0.9777777777777779
3,fusion_mds,5.0 dB,0.9777777777777777,0.9777530589543938
3,fusion_mds,0.5 dB,0.8333333333333334,0.8268907616921931
4,baseline,clean,0.9888888888888889,0.9888858016115588
4,baseline,10.0 dB,0.9777777777777777,0.9777777777777779
4,baseline,8.0 dB,0.9555555555555556,0.9554887608657334
4,baseline,5.0 dB,0.8888888888888888,0.8886382623224729
4,baseline,0.5 dB,0.5777777777777777,0.5394893589619756
4,fusion_mds,clean,0.9888888888888889,0.9888858016115588
4,fusion_mds,10.0 dB,1.0,1.0
4,fusion_mds,8.0 dB,0.9777777777777777,0.9777530589543938
4,fusion_mds,5.0 dB,0.9444444444444444,0.9443052074631022
4,fusion_mds,0.5 dB,0.7666666666666667,0.7406606977462179
