round,model,snr,accuracy,macro_f1
0,baseline,clean,0.9777777777777777,0.9777777777777779
0,baseline,10.0 dB,0.34444444444444444,0.1909969017678148
0,baseline,8.0 dB,0.3333333333333333,0.16666666666666666
0,baseline,5.0 dB,0.3333333333333333,0.16666666666666666
0,baseline,0.5 dB,0.3333333333333333,0.16666666666666666
0,fusion_mds,clean,0.9888888888888889,0.9888858016115588
0,fusion_mds,10.0 dB,0.36666666666666664,0.23451910408432144
0,fusion_mds,8.0 dB,0.34444444444444444,0.1911421911421911
0,fusion_mds,5.0 dB,0.3333333333333333,0.1680672268907563
0,fusion_mds,0.5 dB,0.3333333333333333,0.16666666666666666
1,baseline,clean,0.9444444444444444,0.9443052074631022
1,baseline,10.0 dB,0.3333333333333333,0.16666666666666666
1,baseline,8.0 dB,0.3333333333333333,0.16666666666666666
1,baseline,5.0 dB,0.3333333333333333,0.16666666666666666
1,baseline,0.5 dB,0.3333333333333333,0.16666666666666666
1,fusion_mds,clean,0.9333333333333333,0.9332591768631814
1,fusion_mds,10.0 dB,0.34444444444444444,0.1895726032348423
1,fusion_mds,8.0 dB,0.34444444444444444,0.19032485875706215
1,fusion_mds,5.0 dB,0.3333333333333333,0.16666666666666666
1,fusion_mds,0.5 dB,0.3333333333333333,0.16666666666666666
2,baseline,clean,0.9333333333333333,0.9330357142857143
2,baseline,10.0 dB,0.35555555555555557,0.21200828157349896
2,baseline,8.0 dB,0.34444444444444444,0.1895726032348423
2,baseline,5.0 dB,0.3333333333333333,0.16666666666666666
2,baseline,0.5 dB,0.3333333333333333,0.16666666666666666
2,fusion_mds,clean,0.9666666666666667,0.9665831244778613
2,fusion_mds,10.0 dB,0.4,0.28274428274428276
2,fusion_mds,8.0 dB,0.34444444444444444,0.1895726032348423
2,fusion_mds,5.0 dB,0.3333333333333333,0.16666666666666666
2,fusion_mds,0.5 dB,0.3333333333333333,0.16666666666666666
3,baseline,clean,0.9222222222222223,0.9216783216783216
3,baseline,10.0 dB,0.34444444444444444,0.1895726032348423
3,baseline,8.0 dB,0.34444444444444444,0.1895726032348423
3,baseline,5.0 dB,0.3333333333333333,0.16666666666666666
3,baseline,0.5 dB,0.3333333333333333,0.16666666666666666
3,fusion_mds,clean,0.9222222222222223,0.9220272904483431
3,fusion_mds,10.0 dB,0.4222222222222222,0.3171294089879582
3,fusion_mds,8.0 dB,0.3888888888888889,0.2718609951207574
3,fusion_mds,5.0 dB,0.34444444444444444,0.19032485875706215
3,fusion_mds,0.5 dB,0.3333333333333333,0.16666666666666666
4,baseline,clean,0.9777777777777777,0.9777530589543938
4,baseline,10.0 dB,0.34444444444444444,0.1895726032348423
4,baseline,8.0 dB,0.3333333333333333,0.16666666666666666
4,baseline,5.0 dB,0.3333333333333333,0.16666666666666666
4,baseline,0.5 dB,0.3333333333333333,0.16666666666666666
4,fusion_mds,clean,0.9555555555555556,0.9553571428571429
4,fusion_mds,10.0 dB,0.3333333333333333,0.16666666666666666
4,fusion_mds,8.0 dB,0.3333333333333333,0.16666666666666666
4,fusion_mds,5.0 dB,0.3333333333333333,0.16666666666666666
4,fusion_mds,0.5 dB,0.3333333333333333,0.16666666666666666
