model,noise_type,snr,accuracy,macro_f1,round
baseline,white,clean,0.9555555555555556,0.9555061179087875,0
baseline,white,10.0 dB,0.9,0.9000520368718407,0
baseline,white,8.0 dB,0.9444444444444444,0.9448997330353263,0
baseline,white,5.0 dB,0.8333333333333334,0.8319544774557844,0
baseline,white,0.5 dB,0.7444444444444445,0.7403704746706717,0
baseline,pink,clean,0.9555555555555556,0.9555061179087875,0
baseline,pink,10.0 dB,0.8666666666666667,0.8663333116869061,0
baseline,pink,8.0 dB,0.8777777777777778,0.87743950039032,0
baseline,pink,5.0 dB,0.7888888888888889,0.7852564102564102,0
baseline,pink,0.5 dB,0.7111111111111111,0.7078525189980298,0
baseline,factory,clean,0.9555555555555556,0.9555061179087875,0
baseline,factory,10.0 dB,0.8888888888888888,0.8866910866910868,0
baseline,factory,8.0 dB,0.9111111111111111,0.9104446100347738,0
baseline,factory,5.0 dB,0.8222222222222222,0.8204022988505747,0
baseline,factory,0.5 dB,0.8888888888888888,0.88826630488651,0
fusion_pred_mds,white,clean,0.9222222222222223,0.9211489721205295,0
fusion_pred_mds,white,10.0 dB,0.9,0.9000520368718407,0
fusion_pred_mds,white,8.0 dB,0.9111111111111111,0.9111094389786615,0
fusion_pred_mds,white,5.0 dB,0.8222222222222222,0.8214346858414655,0
fusion_pred_mds,white,0.5 dB,0.7555555555555555,0.753968253968254,0
fusion_pred_mds,pink,clean,0.9222222222222223,0.9211489721205295,0
fusion_pred_mds,pink,10.0 dB,0.8666666666666667,0.8663333116869061,0
fusion_pred_mds,pink,8.0 dB,0.8666666666666667,0.8662825758208319,0
fusion_pred_mds,pink,5.0 dB,0.8,0.7973725915942897,0
fusion_pred_mds,pink,0.5 dB,0.7222222222222222,0.7195215146836351,0
fusion_pred_mds,factory,clean,0.9222222222222223,0.9211489721205295,0
fusion_pred_mds,factory,10.0 dB,0.8888888888888888,0.8866910866910868,0
fusion_pred_mds,factory,8.0 dB,0.9111111111111111,0.9104446100347738,0
fusion_pred_mds,factory,5.0 dB,0.8333333333333334,0.8322554267023491,0
