round,model,noise_type,snr,accuracy,macro_f1
0,baseline,white,clean,0.9555555555555556,0.9555061179087875
0,baseline,white,10.0 dB,0.9777777777777777,0.9777530589543938
0,baseline,white,8.0 dB,0.9,0.8996601321742572
0,baseline,white,5.0 dB,0.9111111111111111,0.9111094389786615
0,baseline,white,0.5 dB,0.6888888888888889,0.6796825396825397
0,baseline,pink,clean,0.9555555555555556,0.9555061179087875
0,baseline,pink,10.0 dB,0.7777777777777778,0.7675983436853002
0,baseline,pink,8.0 dB,0.7111111111111111,0.6899131274131274
0,baseline,pink,5.0 dB,0.5555555555555556,0.5420196833547283
0,baseline,pink,0.5 dB,0.3333333333333333,0.16666666666666666
0,baseline,factory,clean,0.9555555555555556,0.9555061179087875
0,baseline,factory,10.0 dB,0.5666666666666667,0.555589073236132
0,baseline,factory,8.0 dB,0.43333333333333335,0.353849647967295
0,baseline,factory,5.0 dB,0.35555555555555557,0.21134421134421133
0,baseline,factory,0.5 dB,0.3333333333333333,0.16666666666666666
0,fusion_mds,white,clean,1.0,1.0
0,fusion_mds,white,10.0 dB,1.0,1.0
0,fusion_mds,white,8.0 dB,1.0,1.0
0,fusion_mds,white,5.0 dB,1.0,1.0
0,fusion_mds,white,0.5 dB,0.9666666666666667,0.9666574048346762
0,fusion_mds,pink,clean,1.0,1.0
0,fusion_mds,pink,10.0 dB,0.9444444444444444,0.9430712656519108
0,fusion_mds,pink,8.0 dB,0.9222222222222223,0.919581128954227
0,fusion_mds,pink,5.0 dB,0.6888888888888889,0.6873065015479876
0,fusion_mds,pink,0.5 dB,0.3333333333333333,0.16666666666666666
0,fusion_mds,factory,clean,1.0,1.0
0,fusion_mds,factory,10.0 dB,0.8666666666666667,0.8646556058320763
0,fusion_mds,factory,8.0 dB,0.5,0.47522457258765577
0,fusion_mds,factory,5.0 dB,0.3888888888888889,0.2761857707509881
0,fusion_mds,factory,0.5 dB,0.3333333333333333,0.16666666666666666
1,baseline,white,clean,0.9777777777777777,0.9777530589543938
1,baseline,white,10.0 dB,0.9777777777777777,0.9777530589543938
1,baseline,white,8.0 dB,0.9111111111111111,0.9108552346257263
1,baseline,white,5.0 dB,0.9,0.8985308226264603
1,baseline,white,0.5 dB,0.5888888888888889,0.5515770295123671
1,baseline,pink,clean,0.9777777777777777,0.9777530589543938
1,baseline,pink,10.0 dB,0.8555555555555555,0.8508884150675194
1,baseline,pink,8.0 dB,0.7444444444444445,0.7329296509624378
1,baseline,pink,5.0 dB,0.5777777777777777,0.5690476190476191
1,baseline,pink,0.5 dB,0.3333333333333333,0.16666666666666666
1,baseline,factory,clean,0.9777777777777777,0.9777530589543938
1,baseline,factory,10.0 dB,0.5555555555555556,0.5462402765773553
1,baseline,factory,8.0 dB,0.43333333333333335,0.353849647967295
1,baseline,factory,5.0 dB,0.35555555555555557,0.21134421134421133
1,baseline,factory,0.5 dB,0.3333333333333333,0.16666666666666666
1,fusion_mds,white,clean,0.9888888888888889,0.9888858016115588
1,fusion_mds,white,10.0 dB,0.9888888888888889,0.9888858016115588
1,fusion_mds,white,8.0 dB,0.9777777777777777,0.9777777777777779
1,fusion_mds,white,5.0 dB,0.9555555555555556,0.9553571428571429
1,fusion_mds,white,0.5 dB,0.7777777777777778,0.7607655502392344
1,fusion_mds,pink,clean,0.9888888888888889,0.9888858016115588
1,fusion_mds,pink,10.0 dB,0.9333333333333333,0.9313769414575866
1,fusion_mds,pink,8.0 dB,0.9,0.8975912975912976
1,fusion_mds,pink,5.0 dB,0.5888888888888889,0.5547065454801663
1,fusion_mds,pink,0.5 dB,0.3333333333333333,0.16666666666666666
1,fusion_mds,factory,clean,0.9888888888888889,0.9888858016115588
1,fusion_mds,factory,10.0 dB,0.8,0.7954948546497841
1,fusion_mds,factory,8.0 dB,0.43333333333333335,0.34979898150629857
1,fusion_mds,factory,5.0 dB,0.35555555555555557,0.21115819209039546
1,fusion_mds,factory,0.5 dB,0.3333333333333333,0.16666666666666666
2,baseline,white,clean,0.9444444444444444,0.9443052074631022
2,baseline,white,10.0 dB,0.8777777777777778,0.8736204864459444
2,baseline,white,8.0 dB,0.8888888888888888,0.8868778280542986
2,baseline,white,5.0 dB,0.9,0.8975258861011549
2,baseline,white,0.5 dB,0.7888888888888889,0.7847142050847893
2,baseline,pink,clean,0.9444444444444444,0.9443052074631022
2,baseline,pink,10.0 dB,0.6777777777777778,0.6111624703173999
2,baseline,pink,8.0 dB,0.5777777777777777,0.4749852298239395
2,baseline,pink,5.0 dB,0.43333333333333335,0.33954512765192374
2,baseline,pink,0.5 dB,0.3333333333333333,0.16666666666666666
2,baseline,factory,clean,0.9444444444444444,0.9443052074631022
2,baseline,factory,10.0 dB,0.5333333333333333,0.4208211143695015
2,baseline,factory,8.0 dB,0.3888888888888889,0.267081240532568
2,baseline,factory,5.0 dB,0.3333333333333333,0.1680672268907563
2,baseline,factory,0.5 dB,0.34444444444444444,0.2644102963107048
2,fusion_mds,white,clean,0.9888888888888889,0.9888858016115588
2,fusion_mds,white,10.0 dB,1.0,1.0
2,fusion_mds,white,8.0 dB,0.9777777777777777,0.9777530589543938
2,fusion_mds,white,5.0 dB,0.9777777777777777,0.9777530589543938
2,fusion_mds,white,0.5 dB,0.9444444444444444,0.9443052074631022
2,fusion_mds,pink,clean,0.9888888888888889,0.9888858016115588
2,fusion_mds,pink,10.0 dB,0.8888888888888888,0.8833649588867806
2,fusion_mds,pink,8.0 dB,0.9111111111111111,0.9098794344695985
2,fusion_mds,pink,5.0 dB,0.5888888888888889,0.5334582942830366
2,fusion_mds,pink,0.5 dB,0.3333333333333333,0.16666666666666666
2,fusion_mds,factory,clean,0.9888888888888889,0.9888858016115588
2,fusion_mds,factory,10.0 dB,0.7666666666666667,0.7645670082378944
2,fusion_mds,factory,8.0 dB,0.4888888888888889,0.42814709450696564
2,fusion_mds,factory,5.0 dB,0.34444444444444444,0.1895726032348423
2,fusion_mds,factory,0.5 dB,0.3333333333333333,0.16666666666666666
3,baseline,white,clean,0.9666666666666667,0.9666574048346762
3,baseline,white,10.0 dB,0.9555555555555556,0.9548529794431433
3,baseline,white,8.0 dB,0.9111111111111111,0.9105082834591031
3,baseline,white,5.0 dB,0.9222222222222223,0.9208236208236209
3,baseline,white,0.5 dB,0.6888888888888889,0.6577972415181718
3,baseline,pink,clean,0.9666666666666667,0.9666574048346762
3,baseline,pink,10.0 dB,0.9,0.8980757526101408
3,baseline,pink,8.0 dB,0.8,0.7997095134350035
3,baseline,pink,5.0 dB,0.7,0.7077752957723172
3,baseline,pink,0.5 dB,0.3333333333333333,0.16666666666666666
3,baseline,factory,clean,0.9666666666666667,0.9666574048346762
3,baseline,factory,10.0 dB,0.7111111111111111,0.7146945163041742
3,baseline,factory,8.0 dB,0.4666666666666667,0.4311061401390461
3,baseline,factory,5.0 dB,0.36666666666666664,0.2341122139509236
3,baseline,factory,0.5 dB,0.3333333333333333,0.16666666666666666
3,fusion_mds,white,clean,0.9888888888888889,0.9888858016115588
3,fusion_mds,white,10.0 dB,0.9888888888888889,0.9888858016115588
3,fusion_mds,white,8.0 dB,0.9777777777777777,0.9777777777777779
3,fusion_mds,white,5.0 dB,0.9777777777777777,0.9777530589543938
3,fusion_mds,white,0.5 dB,0.8333333333333334,0.8268907616921931
3,fusion_mds,pink,clean,0.9888888888888889,0.9888858016115588
3,fusion_mds,pink,10.0 dB,0.9777777777777777,0.9777530589543938
3,fusion_mds,pink,8.0 dB,0.9111111111111111,0.9108381032155988
3,fusion_mds,pink,5.0 dB,0.5333333333333333,0.4583546534766047
3,fusion_mds,pink,0.5 dB,0.3333333333333333,0.16666666666666666
3,fusion_mds,factory,clean,0.9888888888888889,0.9888858016115588
3,fusion_mds,factory,10.0 dB,0.7444444444444445,0.7260706434604387
3,fusion_mds,factory,8.0 dB,0.4222222222222222,0.32488344988344986
3,fusion_mds,factory,5.0 dB,0.35555555555555557,0.21115819209039546
3,fusion_mds,factory,0.5 dB,0.3333333333333333,0.16666666666666666
4,baseline,white,clean,0.9888888888888889,0.9888858016115588
4,baseline,white,10.0 dB,0.9777777777777777,0.9777777777777779
4,baseline,white,8.0 dB,0.9555555555555556,0.9554887608657334
4,baseline,white,5.0 dB,0.8888888888888888,0.8886382623224729
4,baseline,white,0.5 dB,0.5777777777777777,0.5394893589619756
4,baseline,pink,clean,0.9888888888888889,0.9888858016115588
4,baseline,pink,10.0 dB,0.7777777777777778,0.7565375998731141
4,baseline,pink,8.0 dB,0.6444444444444445,0.6164117579873116
4,baseline,pink,5.0 dB,0.6,0.589332740632977
4,baseline,pink,0.5 dB,0.3333333333333333,0.16666666666666666
4,baseline,factory,clean,0.9888888888888889,0.9888858016115588
4,baseline,factory,10.0 dB,0.4777777777777778,0.46631533969520006
4,baseline,factory,8.0 dB,0.4111111111111111,0.3623094812508409
4,baseline,factory,5.0 dB,0.34444444444444444,0.1895726032348423
4,baseline,factory,0.5 dB,0.3333333333333333,0.16666666666666666
4,fusion_mds,white,clean,0.9888888888888889,0.9888858016115588
4,fusion_mds,white,10.0 dB,1.0,1.0
4,fusion_mds,white,8.0 dB,0.9777777777777777,0.9777530589543938
4,fusion_mds,white,5.0 dB,0.9444444444444444,0.9443052074631022
4,fusion_mds,white,0.5 dB,0.7666666666666667,0.7406606977462179
4,fusion_mds,pink,clean,0.9888888888888889,0.9888858016115588
4,fusion_mds,pink,10.0 dB,0.9444444444444444,0.9433991554893195
4,fusion_mds,pink,8.0 dB,0.8888888888888888,0.885746352413019
4,fusion_mds,pink,5.0 dB,0.43333333333333335,0.31939311418012056
4,fusion_mds,pink,0.5 dB,0.3333333333333333,0.16666666666666666
4,fusion_mds,factory,clean,0.9888888888888889,0.9888858016115588
4,fusion_mds,factory,10.0 dB,0.6444444444444445,0.6295561702942046
4,fusion_mds,factory,8.0 dB,0.37777777777777777,0.2562466772993089
4,fusion_mds,factory,5.0 dB,0.34444444444444444,0.1895726032348423
4,fusion_mds,factory,0.5 dB,0.3333333333333333,0.16666666666666666
