model,snr,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
baseline,0.5 dB,0.6388888888888888,0.0707106781186547,0.6156297845974534,0.0905842749486913
baseline,10.0 dB,0.9777777777777777,0.0,0.9777530589543938,0.0
baseline,5.0 dB,0.9055555555555556,0.007856742013183834,0.904820130802561,0.008894424920585462
baseline,8.0 dB,0.9055555555555556,0.007856742013183834,0.9052576833999917,0.00791613285951194
baseline,clean,0.9666666666666667,0.015713484026367668,0.9666295884315906,0.01573096287400557
fusion_mds,0.5 dB,0.8722222222222222,0.13356461422412563,0.8637114775369553,0.14558752657551152
fusion_mds,10.0 dB,0.9944444444444445,0.007856742013183834,0.9944429008057794,0.007858925047919322
fusion_mds,5.0 dB,0.9777777777777779,0.031426968052735454,0.9776785714285714,0.03156726701725651
fusion_mds,8.0 dB,0.9888888888888889,0.015713484026367786,0.9888888888888889,0.015713484026367668
fusion_mds,clean,0.9944444444444445,0.007856742013183834,0.9944429008057794,0.007858925047919322
