model,snr,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
baseline,0.5 dB,0.3333333333333333,0.0,0.16666666666666666,0.0
baseline,10.0 dB,0.34444444444444444,0.007856742013183872,0.189763411295533,0.016045935469082655
baseline,5.0 dB,0.3333333333333333,0.0,0.16666666666666666,0.0
baseline,8.0 dB,0.3377777777777778,0.006085806194501855,0.1758290412939369,0.01254609815917227
baseline,clean,0.9511111111111111,0.02557969874049181,0.9509100160318619,0.02578774751940003
fusion_mds,0.5 dB,0.3333333333333333,0.0,0.16666666666666666,0.0
fusion_mds,10.0 dB,0.37333333333333335,0.03735052514215915,0.23812641314361427,0.062668189980922
fusion_mds,5.0 dB,0.3355555555555555,0.004969039949999543,0.1716784171295637,0.010441305095815503
fusion_mds,8.0 dB,0.3511111111111111,0.021659542988464366,0.20191346298430393,0.04042773419023573
fusion_mds,clean,0.9533333333333334,0.02652741419180739,0.9532225072516175,0.02658293361369073
