model,noise_type,snr,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
baseline,factory,0.5 dB,0.8407407407407407,0.04490502093697089,0.8386107535632282,0.046660731309804346
baseline,factory,10.0 dB,0.9148148148148149,0.027962349760262045,0.9133320085283047,0.02889572986753446
baseline,factory,5.0 dB,0.8444444444444444,0.029397236789606564,0.8427838664671974,0.030209037491974355
baseline,factory,8.0 dB,0.9037037037037038,0.02312962221629043,0.9020740906656951,0.024975948472528813
baseline,factory,clean,0.9555555555555556,0.033333333333333326,0.9553567470662226,0.033603988951917234
baseline,pink,0.5 dB,0.7074074074074074,0.050102775031365496,0.7034724211367136,0.053269453809776914
baseline,pink,10.0 dB,0.8814814814814814,0.02566001196398334,0.8814935019883393,0.026013665588025852
baseline,pink,5.0 dB,0.8333333333333334,0.040061680838488836,0.8314205392269157,0.04184434828873957
baseline,pink,8.0 dB,0.8925925925925927,0.035717225040714645,0.89179789646709,0.03679503828801816
baseline,pink,clean,0.9555555555555556,0.033333333333333326,0.9553567470662226,0.033603988951917234
baseline,white,0.5 dB,0.774074074074074,0.09251848886516148,0.7637993058189377,0.10378471046663554
baseline,white,10.0 dB,0.9185185185185185,0.03207501495497922,0.9186593671820171,0.032108184411906444
baseline,white,5.0 dB,0.8555555555555555,0.02222222222222217,0.8548758333406316,0.023409882623025426
baseline,white,8.0 dB,0.9259259259259259,0.03207501495497924,0.9253515813867653,0.03332070172925898
baseline,white,clean,0.9555555555555556,0.033333333333333326,0.9553567470662226,0.033603988951917234
fusion_pred_mds,factory,0.5 dB,0.8407407407407407,0.039020939825380525,0.8386497761497762,0.040732007805569063
fusion_pred_mds,factory,10.0 dB,0.9148148148148149,0.027962349760262045,0.9133320085283047,0.02889572986753446
fusion_pred_mds,factory,5.0 dB,0.8592592592592593,0.044905020936970866,0.8579574995607477,0.04578013374100373
fusion_pred_mds,factory,8.0 dB,0.9148148148148149,0.03902093982538056,0.9132475462466556,0.04073338765039849
fusion_pred_mds,factory,clean,0.9370370370370371,0.02566001196398334,0.9365864623489113,0.02598158318752019
fusion_pred_mds,pink,0.5 dB,0.7148148148148148,0.0449050209369709,0.7104716403061976,0.049099447158976794
fusion_pred_mds,pink,10.0 dB,0.8814814814814814,0.02566001196398334,0.8814935019883393,0.026013665588025852
fusion_pred_mds,pink,5.0 dB,0.837037037037037,0.03394500514782103,0.8354592663395423,0.035221449088137055
fusion_pred_mds,pink,8.0 dB,0.8888888888888888,0.048432210483785244,0.8878594259994964,0.049874912944205034
fusion_pred_mds,pink,clean,0.9370370370370371,0.02566001196398334,0.9365864623489113,0.02598158318752019
fusion_pred_mds,white,0.5 dB,0.7703703703703703,0.0898100418739418,0.7599113768682724,0.10390571430983545
fusion_pred_mds,white,10.0 dB,0.9185185185185185,0.02312962221629032,0.9187234517002006,0.023128855174191956
fusion_pred_mds,white,5.0 dB,0.8518518518518517,0.03394500514782103,0.8513541507013512,0.03482360812930221
fusion_pred_mds,white,8.0 dB,0.9222222222222222,0.029397236789606596,0.9217394356188348,0.02988743162616021
fusion_pred_mds,white,clean,0.9370370370370371,0.02566001196398334,0.9365864623489113,0.02598158318752019
