config,model,noise_type,snr,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
alpha10_mlp128_64,baseline,factory,0.5 dB,0.8333333333333334,0.04714045207910316,0.8327873419863407,0.04788083158544369
alpha10_mlp128_64,baseline,factory,10.0 dB,0.9066666666666667,0.07542472332656497,0.9053737050375705,0.07761543074344643
alpha10_mlp128_64,baseline,factory,5.0 dB,0.7933333333333333,0.06599663291074438,0.7905882352941176,0.06987878778784704
alpha10_mlp128_64,baseline,factory,8.0 dB,0.8933333333333333,0.03771236166328258,0.8917908401870667,0.03977290343655144
alpha10_mlp128_64,baseline,factory,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_mlp128_64,baseline,pink,0.5 dB,0.6599999999999999,0.08485281374238574,0.6492729086175599,0.0887038718488199
alpha10_mlp128_64,baseline,pink,10.0 dB,0.9066666666666667,0.05656854249492373,0.9065881926906771,0.05736035687070483
alpha10_mlp128_64,baseline,pink,5.0 dB,0.8200000000000001,0.06599663291074442,0.8169633207227192,0.07088317672459438
alpha10_mlp128_64,baseline,pink,8.0 dB,0.88,0.05656854249492385,0.87956765178441,0.057179975205078865
alpha10_mlp128_64,baseline,pink,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_mlp128_64,baseline,white,0.5 dB,0.7533333333333333,0.04714045207910316,0.7399435984477574,0.03806567394887028
alpha10_mlp128_64,baseline,white,10.0 dB,0.9133333333333333,0.06599663291074438,0.9132343804352476,0.06675948571715426
alpha10_mlp128_64,baseline,white,5.0 dB,0.8666666666666667,0.037712361663282505,0.8661999305159027,0.036964457717122264
alpha10_mlp128_64,baseline,white,8.0 dB,0.8466666666666667,0.04714045207910316,0.8430095716447499,0.05150499797139616
alpha10_mlp128_64,baseline,white,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_mlp128_64,fusion_pred_mds,factory,0.5 dB,0.8333333333333334,0.04714045207910316,0.833685209550875,0.04661105509846446
alpha10_mlp128_64,fusion_pred_mds,factory,10.0 dB,0.9066666666666667,0.07542472332656497,0.9060199489208964,0.07670150387904628
alpha10_mlp128_64,fusion_pred_mds,factory,5.0 dB,0.7866666666666666,0.07542472332656508,0.7843097643097643,0.07875788660488545
alpha10_mlp128_64,fusion_pred_mds,factory,8.0 dB,0.8933333333333333,0.03771236166328258,0.8917908401870667,0.03977290343655144
alpha10_mlp128_64,fusion_pred_mds,factory,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_mlp128_64,fusion_pred_mds,pink,0.5 dB,0.6666666666666666,0.07542472332656508,0.6572240692002994,0.07745923271610333
alpha10_mlp128_64,fusion_pred_mds,pink,10.0 dB,0.9066666666666667,0.05656854249492373,0.9065881926906771,0.05736035687070483
alpha10_mlp128_64,fusion_pred_mds,pink,5.0 dB,0.8200000000000001,0.06599663291074442,0.8169633207227192,0.07088317672459438
alpha10_mlp128_64,fusion_pred_mds,pink,8.0 dB,0.8866666666666667,0.04714045207910316,0.8865450861195541,0.0473123929377504
alpha10_mlp128_64,fusion_pred_mds,pink,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_mlp128_64,fusion_pred_mds,white,0.5 dB,0.7533333333333333,0.04714045207910316,0.7399435984477574,0.03806567394887028
alpha10_mlp128_64,fusion_pred_mds,white,10.0 dB,0.9133333333333333,0.06599663291074438,0.9132343804352476,0.06675948571715426
alpha10_mlp128_64,fusion_pred_mds,white,5.0 dB,0.8666666666666667,0.037712361663282505,0.8661999305159027,0.036964457717122264
alpha10_mlp128_64,fusion_pred_mds,white,8.0 dB,0.8466666666666667,0.04714045207910316,0.8430095716447499,0.05150499797139616
alpha10_mlp128_64,fusion_pred_mds,white,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_svr_strong,baseline,factory,0.5 dB,0.8333333333333334,0.04714045207910316,0.8327873419863407,0.04788083158544369
alpha10_svr_strong,baseline,factory,10.0 dB,0.9066666666666667,0.07542472332656497,0.9053737050375705,0.07761543074344643
alpha10_svr_strong,baseline,factory,5.0 dB,0.7933333333333333,0.06599663291074438,0.7905882352941176,0.06987878778784704
alpha10_svr_strong,baseline,factory,8.0 dB,0.8933333333333333,0.03771236166328258,0.8917908401870667,0.03977290343655144
alpha10_svr_strong,baseline,factory,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_svr_strong,baseline,pink,0.5 dB,0.6599999999999999,0.08485281374238574,0.6492729086175599,0.0887038718488199
alpha10_svr_strong,baseline,pink,10.0 dB,0.9066666666666667,0.05656854249492373,0.9065881926906771,0.05736035687070483
alpha10_svr_strong,baseline,pink,5.0 dB,0.8200000000000001,0.06599663291074442,0.8169633207227192,0.07088317672459438
alpha10_svr_strong,baseline,pink,8.0 dB,0.88,0.05656854249492385,0.87956765178441,0.057179975205078865
alpha10_svr_strong,baseline,pink,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_svr_strong,baseline,white,0.5 dB,0.7533333333333333,0.04714045207910316,0.7399435984477574,0.03806567394887028
alpha10_svr_strong,baseline,white,10.0 dB,0.9133333333333333,0.06599663291074438,0.9132343804352476,0.06675948571715426
alpha10_svr_strong,baseline,white,5.0 dB,0.8666666666666667,0.037712361663282505,0.8661999305159027,0.036964457717122264
alpha10_svr_strong,baseline,white,8.0 dB,0.8466666666666667,0.04714045207910316,0.8430095716447499,0.05150499797139616
alpha10_svr_strong,baseline,white,clean,0.94,0.04714045207910327,0.9396489753632611,0.047977293588427984
alpha10_svr_strong,fusion_pred_mds,factory,0.5 dB,0.8400000000000001,0.05656854249492373,0.839416221033868,0.05725548223778775
alpha10_svr_strong,fusion_pred_mds,factory,10.0 dB,0.9066666666666667,0.07542472332656497,0.9053737050375705,0.07761543074344643
alpha10_svr_strong,fusion_pred_mds,factory,5.0 dB,0.7933333333333333,0.06599663291074438,0.7908363345338134,0.07022965309743932
alpha10_svr_strong,fusion_pred_mds,factory,8.0 dB,0.88,0.07542472332656508,0.876569858712716,0.08057169105356912
alpha10_svr_strong,fusion_pred_mds,factory,clean,0.8533333333333333,0.07542472332656504,0.8436326514156702,0.08967934247424596
alpha10_svr_strong,fusion_pred_mds,pink,0.5 dB,0.6599999999999999,0.08485281374238574,0.6485136264483293,0.08763008470742605
alpha10_svr_strong,fusion_pred_mds,pink,10.0 dB,0.9066666666666667,0.05656854249492373,0.9065881926906771,0.05736035687070483
alpha10_svr_strong,fusion_pred_mds,pink,5.0 dB,0.8200000000000001,0.06599663291074442,0.8169633207227192,0.07088317672459438
alpha10_svr_strong,fusion_pred_mds,pink,8.0 dB,0.8933333333333333,0.05656854249492382,0.8934705229609574,0.05710643964422118
alpha10_svr_strong,fusion_pred_mds,pink,clean,0.8533333333333333,0.07542472332656504,0.8436326514156702,0.08967934247424596
alpha10_svr_strong,fusion_pred_mds,white,0.5 dB,0.76,0.05656854249492385,0.7493894311992163,0.04832388457747476
alpha10_svr_strong,fusion_pred_mds,white,10.0 dB,0.9,0.103708994574027,0.8983815348299553,0.10633826767505417
