model,noise_type,snr,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
baseline,factory,0.5 dB,0.3355555555555555,0.004969039949999538,0.1862153925954743,0.04371228005032656
baseline,factory,10.0 dB,0.5688888888888889,0.08656689413681092,0.5407320640364726,0.11228367049405104
baseline,factory,5.0 dB,0.3511111111111111,0.01266861583443487,0.202888093352989,0.025038732936914047
baseline,factory,8.0 dB,0.42666666666666664,0.028974232912011774,0.353639231571409,0.0582423160496939
baseline,factory,clean,0.9666666666666666,0.017568209223157664,0.9666215181545038,0.017615196931819684
baseline,pink,0.5 dB,0.3333333333333333,0.0,0.16666666666666666,0.0
baseline,pink,10.0 dB,0.7977777777777778,0.08512880581945756,0.7768525163106949,0.10969037583779717
baseline,pink,5.0 dB,0.5733333333333334,0.09577494195337753,0.5495440932919131,0.1333761782771739
baseline,pink,8.0 dB,0.6955555555555556,0.08663817195385749,0.662789855924364,0.12432192170937317
baseline,pink,clean,0.9666666666666666,0.017568209223157664,0.9666215181545038,0.017615196931819684
baseline,white,0.5 dB,0.6666666666666666,0.08642416214502247,0.6426520749519687,0.10089535430163772
baseline,white,10.0 dB,0.9533333333333334,0.043319085976928726,0.9523514723151306,0.04511597247901606
baseline,white,5.0 dB,0.9044444444444444,0.012668615834434885,0.9033256061704741,0.012640345539317593
baseline,white,8.0 dB,0.9133333333333333,0.025337231668869756,0.9126780478358236,0.0258645758931271
baseline,white,clean,0.9666666666666666,0.017568209223157664,0.9666215181545038,0.017615196931819684
fusion_mds,factory,0.5 dB,0.3333333333333333,0.0,0.16666666666666666,0.0
fusion_mds,factory,10.0 dB,0.7644444444444445,0.08142253760249449,0.7560688564948796,0.08706759242127232
fusion_mds,factory,5.0 dB,0.3577777777777778,0.018257418583505554,0.21552947228029273,0.035584128577388914
fusion_mds,factory,8.0 dB,0.4444444444444445,0.05030769521187455,0.36686015515673576,0.08629514009448559
fusion_mds,factory,clean,0.9911111111111112,0.004969039949999509,0.9911086412892469,0.004970420622394596
fusion_mds,pink,0.5 dB,0.3333333333333333,0.0,0.16666666666666666,0.0
fusion_mds,pink,10.0 dB,0.9377777777777778,0.03201080064641763,0.9357930760879982,0.03405757759909751
fusion_mds,pink,5.0 dB,0.5666666666666667,0.09329364235414812,0.5106438217935831,0.13507656761776904
fusion_mds,pink,8.0 dB,0.9066666666666666,0.012668615834434935,0.9047272633287482,0.013188266961621876
fusion_mds,pink,clean,0.9911111111111112,0.004969039949999509,0.9911086412892469,0.004970420622394596
fusion_mds,white,0.5 dB,0.8577777777777778,0.09309493362512625,0.8478559243950847,0.10359940141361805
fusion_mds,white,10.0 dB,0.9955555555555555,0.00608580619450183,0.9955543206446235,0.006087497165936798
fusion_mds,white,5.0 dB,0.971111111111111,0.021659542988464394,0.9710336936458065,0.021734263631154195
fusion_mds,white,8.0 dB,0.9822222222222223,0.009938079899999097,0.9822123346928686,0.009943614878005682
fusion_mds,white,clean,0.9911111111111112,0.004969039949999509,0.9911086412892469,0.004970420622394596
