window_ms,round,model,snr,accuracy,macro_f1
10,0,baseline,clean,0.92,0.9197109594540346
10,0,baseline,10.0 dB,0.9133333333333333,0.9129618058893268
10,0,baseline,8.0 dB,0.9066666666666666,0.9057788197888592
10,0,baseline,5.0 dB,0.84,0.8331062642429599
10,0,baseline,0.5 dB,0.7666666666666667,0.7463429816370993
10,0,fusion_mds,clean,0.98,0.9799819837854069
10,0,fusion_mds,10.0 dB,0.9866666666666667,0.9866613311991462
10,0,fusion_mds,8.0 dB,0.9933333333333333,0.9933326665999934
10,0,fusion_mds,5.0 dB,1.0,1.0
10,0,fusion_mds,0.5 dB,0.9866666666666667,0.9866613311991462
20,0,baseline,clean,0.9733333333333334,0.9733226623982927
20,0,baseline,10.0 dB,0.9666666666666667,0.9666366396423447
20,0,baseline,8.0 dB,0.9333333333333333,0.9332264957264957
20,0,baseline,5.0 dB,0.9333333333333333,0.9330924662116954
20,0,baseline,0.5 dB,0.8333333333333334,0.8202783857057154
20,0,fusion_mds,clean,0.9866666666666667,0.9866613311991462
20,0,fusion_mds,10.0 dB,0.9866666666666667,0.9866613311991462
20,0,fusion_mds,8.0 dB,0.9933333333333333,0.9933326665999934
20,0,fusion_mds,5.0 dB,1.0,1.0
20,0,fusion_mds,0.5 dB,0.9933333333333333,0.9933326665999934
25,0,baseline,clean,0.96,0.9598554797270173
25,0,baseline,10.0 dB,0.9666666666666667,0.9665831244778613
25,0,baseline,8.0 dB,0.96,0.9598554797270173
25,0,baseline,5.0 dB,0.94,0.9395100312531506
25,0,baseline,0.5 dB,0.8333333333333334,0.8224311382506699
25,0,fusion_mds,clean,1.0,1.0
25,0,fusion_mds,10.0 dB,1.0,1.0
25,0,fusion_mds,8.0 dB,1.0,1.0
25,0,fusion_mds,5.0 dB,1.0,1.0
25,0,fusion_mds,0.5 dB,0.98,0.9799819837854069
